Model,up_to_13,Higher
ground truth,0.983788796,0.985961166
o1-mini,0.935035505,0.803571082
claude-3-5-sonnet-20240620,0.933615794,0.922278275
o1-preview,0.915676748,0.928702892
gemini-1.5-pro-002-IT2,0.895890837,0.836242806
gemini-1.5-pro-002-IT1,0.885032967,0.831181677
Llama-3.1-405B-Instruct,0.878476829,0.770715154
gemini-1.5-pro-002-IT3,0.868972091,0.850763977
Llama-3.1-Nemotron-70B-Instruct,0.863743521,0.712742525
gemini-1.5-pro-002-IT4,0.861574361,0.861527863
mistral-large-2407,0.827456854,0.569206086
Qwen2.5-72B-Instruct,0.818493582,0.739178089
Llama-3.2-90B-Vision-Instruct,0.812840979,0.767767961
gpt-4,0.776011067,0.674366962
open-mixtral-8x22b,0.774831541,0.501922692
codestral-2405,0.771344736,0.574168148
WizardLM-2-8x22B,0.771339417,0.579023236
gpt-4o,0.770603378,0.692959285
gpt-4o-mini,0.738926427,0.726156373
gemini-1.5-flash-002,0.738730648,0.679154905
