model_name,iteration,log_name,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,,
claude-3-5-sonnet-20240620,IT1,p1,8,8,8,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p2,16,16,16,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p3,11,11,11,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p4,10,10,10,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p5,11,11,11,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p6,10,10,10,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p7,13,13,13,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p8,12,12,12,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p9,13,13,13,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p10,9,9,9,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p11,12,12,12,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p12,10,10,10,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p13,9,9,9,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p14,10,11,10,FALSE,TRUE
claude-3-5-sonnet-20240620,IT1,p15,10,10,10,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p16,24,24,24,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p17,25,26,25,FALSE,TRUE
claude-3-5-sonnet-20240620,IT1,p18,26,26,26,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p19,8,8,8,FALSE,FALSE
claude-3-5-sonnet-20240620,IT1,p20,13,13,13,FALSE,FALSE
codestral-2405,IT1,p1,8,7,7,,
codestral-2405,IT1,p2,16,18,15,,
codestral-2405,IT1,p3,11,11,11,,
codestral-2405,IT1,p4,10,12,10,,
codestral-2405,IT1,p5,11,13,11,,
codestral-2405,IT1,p6,10,10,10,,
codestral-2405,IT1,p7,13,13,13,,
codestral-2405,IT1,p8,12,15,12,,
codestral-2405,IT1,p9,13,18,13,,
codestral-2405,IT1,p10,9,11,9,,
codestral-2405,IT1,p11,12,12,10,,
codestral-2405,IT1,p12,10,12,10,,
codestral-2405,IT1,p13,9,13,9,,
codestral-2405,IT1,p14,10,16,10,,
codestral-2405,IT1,p15,10,10,10,,
codestral-2405,IT1,p16,24,0,0,,
codestral-2405,IT1,p17,25,27,25,,
codestral-2405,IT1,p18,26,32,25,,
codestral-2405,IT1,p19,8,8,8,,
codestral-2405,IT1,p20,13,16,13,,
gemini-1.5-flash-002,IT1,p1,8,11,8,,
gemini-1.5-flash-002,IT1,p2,16,17,16,,
gemini-1.5-flash-002,IT1,p3,11,13,11,,
gemini-1.5-flash-002,IT1,p4,10,11,10,,
gemini-1.5-flash-002,IT1,p5,11,14,11,,
gemini-1.5-flash-002,IT1,p6,10,12,10,,
gemini-1.5-flash-002,IT1,p7,13,15,13,,
gemini-1.5-flash-002,IT1,p8,12,12,12,,
gemini-1.5-flash-002,IT1,p9,13,24,13,,
gemini-1.5-flash-002,IT1,p10,9,9,9,,
gemini-1.5-flash-002,IT1,p11,12,14,12,,
gemini-1.5-flash-002,IT1,p12,10,12,10,,
gemini-1.5-flash-002,IT1,p13,9,13,9,,
gemini-1.5-flash-002,IT1,p14,10,12,10,,
gemini-1.5-flash-002,IT1,p15,10,10,10,,
gemini-1.5-flash-002,IT1,p16,24,26,22,,
gemini-1.5-flash-002,IT1,p17,25,29,24,,
gemini-1.5-flash-002,IT1,p18,26,32,26,,
gemini-1.5-flash-002,IT1,p19,8,8,8,,
gemini-1.5-flash-002,IT1,p20,13,17,13,,
gemini-1.5-pro-002,IT1,p1,8,8,8,,
gemini-1.5-pro-002,IT1,p2,16,16,16,,
gemini-1.5-pro-002,IT1,p3,11,11,11,,
gemini-1.5-pro-002,IT1,p4,10,11,10,,
gemini-1.5-pro-002,IT1,p5,11,11,11,,
gemini-1.5-pro-002,IT1,p6,10,10,10,,
gemini-1.5-pro-002,IT1,p7,13,13,13,,
gemini-1.5-pro-002,IT1,p8,12,13,12,,
gemini-1.5-pro-002,IT1,p9,13,13,13,,
gemini-1.5-pro-002,IT1,p10,9,9,9,,
gemini-1.5-pro-002,IT1,p11,12,12,12,,
gemini-1.5-pro-002,IT1,p12,10,10,10,,
gemini-1.5-pro-002,IT1,p13,9,12,9,,
gemini-1.5-pro-002,IT1,p14,10,10,10,,
gemini-1.5-pro-002,IT1,p15,10,12,10,,
gemini-1.5-pro-002,IT1,p16,24,24,24,,
gemini-1.5-pro-002,IT1,p17,25,25,25,,
gemini-1.5-pro-002,IT1,p18,26,30,26,,
gemini-1.5-pro-002,IT1,p19,8,8,8,,
gemini-1.5-pro-002,IT1,p20,13,13,13,,
gemini-1.5-pro-002,IT2,p1,8,9,8,,
gemini-1.5-pro-002,IT2,p2,16,16,16,,
gemini-1.5-pro-002,IT2,p3,11,11,11,,
gemini-1.5-pro-002,IT2,p4,10,11,10,,
gemini-1.5-pro-002,IT2,p5,11,11,11,,
gemini-1.5-pro-002,IT2,p6,10,10,10,,
gemini-1.5-pro-002,IT2,p7,13,13,13,,
gemini-1.5-pro-002,IT2,p8,12,12,12,,
gemini-1.5-pro-002,IT2,p9,13,13,13,,
gemini-1.5-pro-002,IT2,p10,9,10,9,,
gemini-1.5-pro-002,IT2,p11,12,12,12,,
gemini-1.5-pro-002,IT2,p12,10,11,10,,
gemini-1.5-pro-002,IT2,p13,9,10,9,,
gemini-1.5-pro-002,IT2,p14,10,10,10,,
gemini-1.5-pro-002,IT2,p15,10,12,10,,
gemini-1.5-pro-002,IT2,p16,24,24,24,,
gemini-1.5-pro-002,IT2,p17,25,24,24,,
gemini-1.5-pro-002,IT2,p18,26,29,26,,
gemini-1.5-pro-002,IT2,p19,8,8,8,,
gemini-1.5-pro-002,IT2,p20,13,13,13,,
gemini-1.5-pro-002,IT3,p1,8,8,8,,
gemini-1.5-pro-002,IT3,p2,16,19,16,,
gemini-1.5-pro-002,IT3,p3,11,11,11,,
gemini-1.5-pro-002,IT3,p4,10,11,10,,
gemini-1.5-pro-002,IT3,p5,11,11,11,,
gemini-1.5-pro-002,IT3,p6,10,11,10,,
gemini-1.5-pro-002,IT3,p7,13,13,13,,
gemini-1.5-pro-002,IT3,p8,12,12,12,,
gemini-1.5-pro-002,IT3,p9,13,17,13,,
gemini-1.5-pro-002,IT3,p10,9,9,9,,
gemini-1.5-pro-002,IT3,p11,12,12,12,,
gemini-1.5-pro-002,IT3,p12,10,10,10,,
gemini-1.5-pro-002,IT3,p13,9,12,9,,
gemini-1.5-pro-002,IT3,p14,10,10,10,,
gemini-1.5-pro-002,IT3,p15,10,10,10,,
gemini-1.5-pro-002,IT3,p16,24,31,24,,
gemini-1.5-pro-002,IT3,p17,25,25,25,,
gemini-1.5-pro-002,IT3,p18,26,27,26,,
gemini-1.5-pro-002,IT3,p19,8,8,8,,
gemini-1.5-pro-002,IT3,p20,13,13,13,,
gemini-1.5-pro-002,IT4,p1,8,8,8,,
gemini-1.5-pro-002,IT4,p2,16,16,16,,
gemini-1.5-pro-002,IT4,p3,11,11,11,,
gemini-1.5-pro-002,IT4,p4,10,10,10,,
gemini-1.5-pro-002,IT4,p5,11,11,11,,
gemini-1.5-pro-002,IT4,p6,10,10,10,,
gemini-1.5-pro-002,IT4,p7,13,13,13,,
gemini-1.5-pro-002,IT4,p8,12,12,12,,
gemini-1.5-pro-002,IT4,p9,13,13,12,,
gemini-1.5-pro-002,IT4,p10,9,10,9,,
gemini-1.5-pro-002,IT4,p11,12,12,12,,
gemini-1.5-pro-002,IT4,p12,10,10,10,,
gemini-1.5-pro-002,IT4,p13,9,12,9,,
gemini-1.5-pro-002,IT4,p14,10,10,10,,
gemini-1.5-pro-002,IT4,p15,10,10,10,,
gemini-1.5-pro-002,IT4,p16,24,23,23,,
gemini-1.5-pro-002,IT4,p17,25,28,25,,
gemini-1.5-pro-002,IT4,p18,26,28,26,,
gemini-1.5-pro-002,IT4,p19,8,8,8,,
gemini-1.5-pro-002,IT4,p20,13,13,13,,
gpt-4,IT1,p1,8,12,8,,
gpt-4,IT1,p2,16,18,16,,
gpt-4,IT1,p3,11,12,11,,
gpt-4,IT1,p4,10,11,10,,
gpt-4,IT1,p5,11,12,11,,
gpt-4,IT1,p6,10,10,10,,
gpt-4,IT1,p7,13,18,13,,
gpt-4,IT1,p8,12,15,12,,
gpt-4,IT1,p9,13,15,13,,
gpt-4,IT1,p10,9,9,9,,
gpt-4,IT1,p11,12,13,12,,
gpt-4,IT1,p12,10,13,10,,
gpt-4,IT1,p13,9,13,9,,
gpt-4,IT1,p14,10,10,10,,
gpt-4,IT1,p15,10,13,10,,
gpt-4,IT1,p16,24,28,24,,
gpt-4,IT1,p17,25,27,22,,
gpt-4,IT1,p18,26,32,25,,
gpt-4,IT1,p19,8,10,8,,
gpt-4,IT1,p20,13,14,13,,
gpt-4o,IT1,p1,8,8,8,,
gpt-4o,IT1,p2,16,17,15,,
gpt-4o,IT1,p3,11,12,11,,
gpt-4o,IT1,p4,10,10,10,,
gpt-4o,IT1,p5,11,11,11,,
gpt-4o,IT1,p6,10,11,10,,
gpt-4o,IT1,p7,13,14,13,,
gpt-4o,IT1,p8,12,12,12,,
gpt-4o,IT1,p9,13,13,13,,
gpt-4o,IT1,p10,9,9,9,,
gpt-4o,IT1,p11,12,12,12,,
gpt-4o,IT1,p12,10,11,10,,
gpt-4o,IT1,p13,9,10,9,,
gpt-4o,IT1,p14,10,11,10,,
gpt-4o,IT1,p15,10,10,10,,
gpt-4o,IT1,p16,24,31,23,,
gpt-4o,IT1,p17,25,24,24,,
gpt-4o,IT1,p18,26,29,26,,
gpt-4o,IT1,p19,8,9,8,,
gpt-4o,IT1,p20,13,21,13,,
gpt-4o-mini,IT1,p1,8,8,8,,
gpt-4o-mini,IT1,p2,16,16,16,,
gpt-4o-mini,IT1,p3,11,11,10,,
gpt-4o-mini,IT1,p4,10,10,10,,
gpt-4o-mini,IT1,p5,11,11,11,,
gpt-4o-mini,IT1,p6,10,10,10,,
gpt-4o-mini,IT1,p7,13,14,13,,
gpt-4o-mini,IT1,p8,12,13,12,,
gpt-4o-mini,IT1,p9,13,15,13,,
gpt-4o-mini,IT1,p10,9,9,9,,
gpt-4o-mini,IT1,p11,12,13,12,,
gpt-4o-mini,IT1,p12,10,11,10,,
gpt-4o-mini,IT1,p13,9,5,3,,
gpt-4o-mini,IT1,p14,10,11,10,,
gpt-4o-mini,IT1,p15,10,10,10,,
gpt-4o-mini,IT1,p16,24,33,22,,
gpt-4o-mini,IT1,p17,25,27,22,,
gpt-4o-mini,IT1,p18,26,27,25,,
gpt-4o-mini,IT1,p19,8,12,8,,
gpt-4o-mini,IT1,p20,13,12,12,,
Llama-3.1-405B-Instruct,IT1,p1,8,8,8,,
Llama-3.1-405B-Instruct,IT1,p2,16,16,16,,
Llama-3.1-405B-Instruct,IT1,p3,11,11,11,,
Llama-3.1-405B-Instruct,IT1,p4,10,10,10,,
Llama-3.1-405B-Instruct,IT1,p5,11,13,11,,
Llama-3.1-405B-Instruct,IT1,p6,10,10,10,,
Llama-3.1-405B-Instruct,IT1,p7,13,14,13,,
Llama-3.1-405B-Instruct,IT1,p8,12,12,12,,
Llama-3.1-405B-Instruct,IT1,p9,13,16,13,,
Llama-3.1-405B-Instruct,IT1,p10,9,11,9,,
Llama-3.1-405B-Instruct,IT1,p11,12,12,12,,
Llama-3.1-405B-Instruct,IT1,p12,10,10,10,,
Llama-3.1-405B-Instruct,IT1,p13,9,12,9,,
Llama-3.1-405B-Instruct,IT1,p14,10,11,10,,
Llama-3.1-405B-Instruct,IT1,p15,10,11,10,,
Llama-3.1-405B-Instruct,IT1,p16,24,27,24,,
Llama-3.1-405B-Instruct,IT1,p17,25,25,25,,
Llama-3.1-405B-Instruct,IT1,p18,26,28,26,,
Llama-3.1-405B-Instruct,IT1,p19,8,9,8,,
Llama-3.1-405B-Instruct,IT1,p20,13,12,12,,
Llama-3.2-90B-Vision-Instruct,IT1,p1,8,9,8,,
Llama-3.2-90B-Vision-Instruct,IT1,p2,16,17,16,,
Llama-3.2-90B-Vision-Instruct,IT1,p3,11,11,11,,
Llama-3.2-90B-Vision-Instruct,IT1,p4,10,10,10,,
