log_name,visible_transitions_ground_truth_log,visible_transitions_ground_truth_model,shared_activities,percentage_of_fitting_traces,average_trace_fitness,precision,,f-mesure
01.txt,8,8,8,100,1,1,,1
02.txt,16,16,16,100,1,0.933333333,,0.965517241
03.txt,11,11,11,100,1,0.967741935,,0.983606557
04.txt,10,10,10,100,1,1,,1
05.txt,11,11,11,100,1,0.927884615,,0.962593516
06.txt,10,10,10,100,1,0.96,,0.979591837
07.txt,13,13,13,100,1,0.934782609,,0.966292135
08.txt,12,12,12,100,1,1,,1
09.txt,13,13,13,100,1,0.966480447,,0.982954545
10.txt,9,9,9,100,1,0.990566038,,0.995260664
11.txt,12,12,12,100,1,0.914641375,,0.955417957
12.txt,10,10,10,100,1,0.881690141,,0.937125749
13.txt,9,9,9,100,1,1,,1
14.txt,10,10,10,100,1,0.956521739,,0.977777778
15.txt,10,10,10,100,1,1,,1
16.txt,24,24,24,100,1,0.985893417,,0.992896606
17.txt,25,25,25,100,1,1,,1
18.txt,26,26,26,100,1,0.971280057,,0.985430815
hotel.txt,13,13,13,100,1,1,,1
order.txt,8,8,8,100,1,1,,1
