ID,more_activities,less_activities
Llama-3.1-405B-Instruct_IT1,10,1
Llama-3.1-Nemotron-70B-Instruct_IT1,10,0
Llama-3.2-90B-Vision-Instruct_IT1,10,1
Qwen2.5-72B-Instruct_IT1,13,2
WizardLM-2-8x22B_IT1,8,4
claude-3-5-sonnet-20240620_IT1,2,0
codestral-2405_IT1,12,2
gemini-1.5-flash-002_IT1,16,0
gemini-1.5-pro-002_IT1,5,0
gemini-1.5-pro-002_IT2,7,1
gemini-1.5-pro-002_IT3,7,0
gemini-1.5-pro-002_IT4,4,1
gpt-4_IT1,17,0
gpt-4o-mini_IT1,10,2
gpt-4o_IT1,11,1
mistral-large-2407_IT1,9,0
o1-mini_IT1,3,3
o1-preview_IT1,4,1
open-mixtral-8x22b_IT1,10,1
