log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time
01.txt,2,8,8,8,13.73996568
02.txt,2,16,16,16,17.48062015
03.txt,4,11,11,10,28.86295676
04.txt,4,10,10,10,28.8366425
05.txt,2,11,11,11,12.36397815
06.txt,4,10,10,10,26.84661317
07.txt,10,13,14,13,72.30130672
08.txt,4,12,13,12,27.81723571
09.txt,8,13,15,13,67.67251992
10.txt,4,9,9,9,27.81863832
11.txt,2,12,13,12,24.79644251
12.txt,10,10,11,10,81.0286622
13.txt,22,9,5,3,175.6207128
14.txt,12,10,11,10,78.2744329
15.txt,2,10,10,10,17.62715745
16.txt,22,24,33,22,262.1112397
17.txt,22,25,27,22,233.4079914
18.txt,18,26,27,25,264.4519441
order.txt,6,8,12,8,49.3636086
hotel.txt,2,13,12,12,18.60912442
