log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,num_it
01.txt,2,8,8,8,37.03577209,1
02.txt,6,16,17,15,137.4419031,3
03.txt,4,11,12,11,75.88767099,2
04.txt,2,10,10,10,44.20579147,1
05.txt,2,11,11,11,43.10470939,1
06.txt,4,10,11,10,51.41120172,2
07.txt,4,13,14,13,66.85373521,2
08.txt,2,12,12,12,24.74085927,1
09.txt,2,13,13,13,50.26131463,1
10.txt,2,9,9,9,27.78511834,1
11.txt,2,12,12,12,34.85712814,1
12.txt,4,10,11,10,81.06438661,2
13.txt,8,9,10,9,140.7415044,4
14.txt,4,10,11,10,56.71499062,2
15.txt,2,10,10,10,52.35867238,1
16.txt,8,24,31,23,168.3325524,4
17.txt,2,25,24,24,47.26276326,1
18.txt,6,26,29,26,136.3463731,3
order.txt,4,8,9,8,63.5668633,2
hotel.txt,20,13,21,13,464.5321894,10
