log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,num_it
01.txt,14,8,12,8,174.3660994,7
02.txt,16,16,18,16,293.9650283,8
03.txt,4,11,12,11,60.42825747,2
04.txt,4,10,11,10,53.42409277,2
05.txt,4,11,12,11,57.45085216,2
06.txt,2,10,10,10,31.8235321,1
07.txt,16,13,18,13,241.9950163,8
08.txt,4,12,15,12,49.42270517,2
09.txt,4,13,15,13,55.39443374,2
10.txt,10,9,9,9,151.5489295,5
11.txt,4,12,13,12,66.49828124,2
12.txt,10,10,13,10,152.3088017,5
13.txt,4,9,13,9,62.63044763,2
14.txt,2,10,10,10,28.787467,1
15.txt,8,10,13,10,106.4501932,4
16.txt,8,24,28,24,163.8974085,4
17.txt,16,25,27,22,303.5460701,8
18.txt,16,26,32,25,345.7607751,8
order.txt,6,8,10,8,85.20133972,3
hotel.txt,4,13,14,13,76.13634419,2
