model_name,iteration,log_name,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,,,,
claude-3-5-sonnet-20240620,IT1,p1,8,8,8,,,8,TRUE
claude-3-5-sonnet-20240620,IT1,p2,16,16,16,,,16,TRUE
claude-3-5-sonnet-20240620,IT1,p3,11,11,11,,,11,TRUE
claude-3-5-sonnet-20240620,IT1,p4,10,10,10,,,10,TRUE
claude-3-5-sonnet-20240620,IT1,p5,11,11,11,,,11,TRUE
claude-3-5-sonnet-20240620,IT1,p6,10,10,10,,,10,TRUE
claude-3-5-sonnet-20240620,IT1,p7,13,13,13,,,13,TRUE
claude-3-5-sonnet-20240620,IT1,p8,12,12,12,,,12,TRUE
claude-3-5-sonnet-20240620,IT1,p9,13,13,13,,,13,TRUE
claude-3-5-sonnet-20240620,IT1,p10,9,9,9,,,9,TRUE
claude-3-5-sonnet-20240620,IT1,p11,12,12,12,,,12,TRUE
claude-3-5-sonnet-20240620,IT1,p12,10,10,10,,,10,TRUE
claude-3-5-sonnet-20240620,IT1,p13,9,9,9,,,9,TRUE
claude-3-5-sonnet-20240620,IT1,p14,10,11,10,,,10,TRUE
claude-3-5-sonnet-20240620,IT1,p15,10,10,10,,,10,TRUE
claude-3-5-sonnet-20240620,IT1,p16,24,24,24,,,24,TRUE
claude-3-5-sonnet-20240620,IT1,p17,25,26,25,,,25,TRUE
claude-3-5-sonnet-20240620,IT1,p18,26,26,26,,,26,TRUE
claude-3-5-sonnet-20240620,IT1,p19,8,8,8,,,8,TRUE
claude-3-5-sonnet-20240620,IT1,p20,13,13,13,,,13,TRUE
codestral-2405,IT1,p1,8,7,7,,,8,TRUE
codestral-2405,IT1,p2,16,18,15,,,16,TRUE
codestral-2405,IT1,p3,11,11,11,,,11,TRUE
codestral-2405,IT1,p4,10,12,10,,,10,TRUE
codestral-2405,IT1,p5,11,13,11,,,11,TRUE
codestral-2405,IT1,p6,10,10,10,,,10,TRUE
codestral-2405,IT1,p7,13,13,13,,,13,TRUE
codestral-2405,IT1,p8,12,15,12,,,12,TRUE
codestral-2405,IT1,p9,13,18,13,,,13,TRUE
codestral-2405,IT1,p10,9,11,9,,,9,TRUE
codestral-2405,IT1,p11,12,12,10,,,12,TRUE
codestral-2405,IT1,p12,10,12,10,,,10,TRUE
codestral-2405,IT1,p13,9,13,9,,,9,TRUE
codestral-2405,IT1,p14,10,16,10,,,10,TRUE
codestral-2405,IT1,p15,10,10,10,,,10,TRUE
codestral-2405,IT1,p16,24,0,0,,,24,TRUE
codestral-2405,IT1,p17,25,27,25,,,25,TRUE
codestral-2405,IT1,p18,26,32,25,,,26,TRUE
codestral-2405,IT1,p19,8,8,8,,,8,TRUE
codestral-2405,IT1,p20,13,16,13,,,13,TRUE
gemini-1.5-flash-002,IT1,p1,8,11,8,,,8,TRUE
gemini-1.5-flash-002,IT1,p2,16,17,16,,,16,TRUE
gemini-1.5-flash-002,IT1,p3,11,13,11,,,11,TRUE
gemini-1.5-flash-002,IT1,p4,10,11,10,,,10,TRUE
gemini-1.5-flash-002,IT1,p5,11,14,11,,,11,TRUE
gemini-1.5-flash-002,IT1,p6,10,12,10,,,10,TRUE
gemini-1.5-flash-002,IT1,p7,13,15,13,,,13,TRUE
gemini-1.5-flash-002,IT1,p8,12,12,12,,,12,TRUE
gemini-1.5-flash-002,IT1,p9,13,24,13,,,13,TRUE
gemini-1.5-flash-002,IT1,p10,9,9,9,,,9,TRUE
gemini-1.5-flash-002,IT1,p11,12,14,12,,,12,TRUE
gemini-1.5-flash-002,IT1,p12,10,12,10,,,10,TRUE
gemini-1.5-flash-002,IT1,p13,9,13,9,,,9,TRUE
gemini-1.5-flash-002,IT1,p14,10,12,10,,,10,TRUE
gemini-1.5-flash-002,IT1,p15,10,10,10,,,10,TRUE
gemini-1.5-flash-002,IT1,p16,24,26,22,,,24,TRUE
gemini-1.5-flash-002,IT1,p17,25,29,24,,,25,TRUE
gemini-1.5-flash-002,IT1,p18,26,32,26,,,26,TRUE
gemini-1.5-flash-002,IT1,p19,8,8,8,,,8,TRUE
gemini-1.5-flash-002,IT1,p20,13,17,13,,,13,TRUE
gemini-1.5-pro-002,IT1,p1,8,8,8,,,8,TRUE
gemini-1.5-pro-002,IT1,p2,16,16,16,,,16,TRUE
gemini-1.5-pro-002,IT1,p3,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT1,p4,10,11,10,,,10,TRUE
gemini-1.5-pro-002,IT1,p5,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT1,p6,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT1,p7,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT1,p8,12,13,12,,,12,TRUE
gemini-1.5-pro-002,IT1,p9,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT1,p10,9,9,9,,,9,TRUE
gemini-1.5-pro-002,IT1,p11,12,12,12,,,12,TRUE
gemini-1.5-pro-002,IT1,p12,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT1,p13,9,12,9,,,9,TRUE
gemini-1.5-pro-002,IT1,p14,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT1,p15,10,12,10,,,10,TRUE
gemini-1.5-pro-002,IT1,p16,24,24,24,,,24,TRUE
gemini-1.5-pro-002,IT1,p17,25,25,25,,,25,TRUE
gemini-1.5-pro-002,IT1,p18,26,30,26,,,26,TRUE
gemini-1.5-pro-002,IT1,p19,8,8,8,,,8,TRUE
gemini-1.5-pro-002,IT1,p20,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT2,p1,8,9,8,,,8,TRUE
gemini-1.5-pro-002,IT2,p2,16,16,16,,,16,TRUE
gemini-1.5-pro-002,IT2,p3,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT2,p4,10,11,10,,,10,TRUE
gemini-1.5-pro-002,IT2,p5,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT2,p6,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT2,p7,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT2,p8,12,12,12,,,12,TRUE
gemini-1.5-pro-002,IT2,p9,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT2,p10,9,10,9,,,9,TRUE
gemini-1.5-pro-002,IT2,p11,12,12,12,,,12,TRUE
gemini-1.5-pro-002,IT2,p12,10,11,10,,,10,TRUE
gemini-1.5-pro-002,IT2,p13,9,10,9,,,9,TRUE
gemini-1.5-pro-002,IT2,p14,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT2,p15,10,12,10,,,10,TRUE
gemini-1.5-pro-002,IT2,p16,24,24,24,,,24,TRUE
gemini-1.5-pro-002,IT2,p17,25,24,24,,,25,TRUE
gemini-1.5-pro-002,IT2,p18,26,29,26,,,26,TRUE
gemini-1.5-pro-002,IT2,p19,8,8,8,,,8,TRUE
gemini-1.5-pro-002,IT2,p20,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT3,p1,8,8,8,,,8,TRUE
gemini-1.5-pro-002,IT3,p2,16,19,16,,,16,TRUE
gemini-1.5-pro-002,IT3,p3,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT3,p4,10,11,10,,,10,TRUE
gemini-1.5-pro-002,IT3,p5,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT3,p6,10,11,10,,,10,TRUE
gemini-1.5-pro-002,IT3,p7,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT3,p8,12,12,12,,,12,TRUE
gemini-1.5-pro-002,IT3,p9,13,17,13,,,13,TRUE
gemini-1.5-pro-002,IT3,p10,9,9,9,,,9,TRUE
gemini-1.5-pro-002,IT3,p11,12,12,12,,,12,TRUE
gemini-1.5-pro-002,IT3,p12,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT3,p13,9,12,9,,,9,TRUE
gemini-1.5-pro-002,IT3,p14,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT3,p15,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT3,p16,24,31,24,,,24,TRUE
gemini-1.5-pro-002,IT3,p17,25,25,25,,,25,TRUE
gemini-1.5-pro-002,IT3,p18,26,27,26,,,26,TRUE
gemini-1.5-pro-002,IT3,p19,8,8,8,,,8,TRUE
gemini-1.5-pro-002,IT3,p20,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT4,p1,8,8,8,,,8,TRUE
gemini-1.5-pro-002,IT4,p2,16,16,16,,,16,TRUE
